,댓글
0,"인테리어 이쁘고 넓고 깔끔. 디저트도 평타 이상은 함. 단점은 인테리어 분위기 다 헤치는 카페 노래,,,, 아이돌 노래 그런거 틀음.. 카페 갬성 다 깸...음악 소리도 매우 큰 편..노래만 바꾸면 딱 좋은 카페.,,,ㅠ "
1,꺄악 너무 분위기도 좋고 맛있어요!!
2,루이비똥~
3,토요일 1시쯤 일하시는 여자직원분 주문 받으실 때 응대가 좀 불편했어요. 
4,저도 크로플이랑 커피는 실망이었어요... 공간이 아까워요 ㅜㅜ
5,"크로플 뭐가 맛있는지 잘 모르겠어요. 바쁘지도 않은데, 바로 구워주는 것도 아니고, 미적지근한 크로플에 아이스크림 올려주고. 아메리카노는 왜 화장품 맛 나죠ㅠㅠㅠ 그리고 점원분이 사장님이신지는 모르겠는데 너무 불친절해요. 인사는 바라지도 않아요. 큐알코드 좀 늦게 찍었다고 눈치주시고 기다리는 사람도 없었는데, 표정이 왜 왔냐 이런 느낌이라 기분이 너무 나빠..."
6,굿굿 분위기 좋아요
7,넓고 쾌적! 하지만 시그니처음료가 별로여서 아쉬웠음. 보통 크림라떼는 음료와 크림을 입으로 마셨을 때 같이 마셔져야 맛있는데 크림이 너무 꾸덕해서 라떼가 절대로 안마셔진다.ㅜ 위에 파우더도 과하게 많이 뿌려져서 보기엔 이쁘지만 입에선 별로였다. 하지만 친구가 마신 바닐라라떼는 괜찮았다고 하네용!
8,쾌적하고 좋아요
9,
10,공간도 넓고 커피도 맛있어요. 커피는 곡물향 위주이고 고소한 맛입니다. 플랫화이트가 맛있어요.
11,넓고 쾌적해요
12,와 전 여기 크로플 맛집이라고 생각해요 진짜ㅠㅠ 크로플도 맛있는데 음료도 괜찮고 넓고 쾌적해서 좋았습니다!! 
13,아아 쟈스민 시나몬아이스크림와플 무난. 퀄리티있는 디저트들은 아니니까 기대까진 필요없음. 손으로 먹는게 아닌데 와플주면서 포크랑 나이프는 챙겨주세요 찾으니까 몇개필요하시냐고 하지말고
14,넓고 크고 시원하고 좋앙용
15,자리 넓고 쾌적해서 좋은데 알바분이 너무너무 불친절하네요.. 묻는 말에도 고개만 끄덕거리시고 크로와상 좀 데워주실 수 있냐 여쭸더니 아.. 데워드려요? 라고 하시네요ㅜ 다신 안갈 듯합니다
16,근래 가본 카페 중에 가장 마음에 들었다 일단 천장이 높아서 확- 트이는 마음! 공간이 넓고 인테리어도 좋아서 너무 마음에 들었고 음료가격도 괜찮은 편. 음료맛은 나쁘지 않았다 다만 브라우니는 너무 아쉬웠다 디저트류는 고민을 좀 해보셔야 할 듯...
17,인테리어 시원시원해서 예쁘고 음료도 맛있는 편이에요✔︎  디저트는 조금 비싼 것 같아요~
18,좋아요 디저트류도 맛잇어요
19,
